stage,color_group,count
strict_colors_before_manual_v3_exclusion,red,40
strict_colors_before_manual_v3_exclusion,blue,13
strict_colors_before_manual_v3_exclusion,green,2
strict_colors_before_manual_v3_exclusion,yellow,2
strict_colors_before_manual_v3_exclusion,black,27
strict_colors_before_manual_v3_exclusion,white,14
post_manual_v3_exclusion_pre_expansion,red,40
post_manual_v3_exclusion_pre_expansion,blue,12
post_manual_v3_exclusion_pre_expansion,green,2
post_manual_v3_exclusion_pre_expansion,yellow,2
post_manual_v3_exclusion_pre_expansion,black,23
post_manual_v3_exclusion_pre_expansion,white,14
expanded_final_v4,red,56
expanded_final_v4,blue,21
expanded_final_v4,green,2
expanded_final_v4,yellow,7
expanded_final_v4,black,29
expanded_final_v4,white,25
summary,excluded_manual_review_v3,10
summary,expanded_added_count,47
summary,final_total,140
