model_key,model_name,condition_name,category,count,rate
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,in_space_conflict_aligned,167,0.5566666666666666
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,out_of_space_faithful,133,0.44333333333333336
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,other_behavior,0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,in_space_conflict_aligned,272,0.9066666666666666
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,out_of_space_faithful,28,0.09333333333333334
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,other_behavior,0,0.0
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,in_space_conflict_aligned,256,0.8533333333333334
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,out_of_space_faithful,44,0.14666666666666667
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,other_behavior,0,0.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,in_space_conflict_aligned,300,1.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,out_of_space_faithful,0,0.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,other_behavior,0,0.0
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,in_space_conflict_aligned,221,0.7366666666666667
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,out_of_space_faithful,79,0.2633333333333333
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,other_behavior,0,0.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,in_space_conflict_aligned,300,1.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,out_of_space_faithful,0,0.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,other_behavior,0,0.0
