model_key,condition_name,conflict_aligned_rate_stanford_core,faithful_rate_stanford_core,conflict_aligned_rate_balanced_eval,faithful_rate_balanced_eval,conflict_aligned_delta,faithful_delta
qwen2vl7b,C0_neutral,0.0,1.0,0.0,1.0,0.0,0.0
qwen2vl7b,C1_weak_suggestion,0.0,1.0,0.0,1.0,0.0,0.0
qwen2vl7b,C2_false_assertion_open,0.0,1.0,0.0,1.0,0.0,0.0
qwen2vl7b,C3_presupposition_correction_allowed,0.0,1.0,0.0033333333333333,0.9966666666666668,0.0033333333333333,-0.0033333333333331883
qwen2vl7b,C4_stronger_open_conflict,0.0,1.0,0.0033333333333333,0.9966666666666668,0.0033333333333333,-0.0033333333333331883
llava15_7b,C0_neutral,0.0,1.0,0.0,1.0,0.0,0.0
llava15_7b,C1_weak_suggestion,0.010752688172043,0.989247311827957,0.0033333333333333,0.9966666666666668,-0.007419354838709699,0.007419354838709813
llava15_7b,C2_false_assertion_open,0.010752688172043,0.989247311827957,0.01,0.99,-0.0007526881720429993,0.0007526881720429923
llava15_7b,C3_presupposition_correction_allowed,0.1397849462365591,0.8602150537634409,0.09,0.91,-0.0497849462365591,0.04978494623655916
llava15_7b,C4_stronger_open_conflict,0.032258064516129,0.967741935483871,0.0333333333333333,0.9666666666666668,0.0010752688172043015,-0.0010752688172042113
internvl2_8b,C0_neutral,0.0,1.0,0.0,1.0,0.0,0.0
internvl2_8b,C1_weak_suggestion,0.0,1.0,0.0,1.0,0.0,0.0
internvl2_8b,C2_false_assertion_open,0.0,1.0,0.0,1.0,0.0,0.0
internvl2_8b,C3_presupposition_correction_allowed,0.0,1.0,0.0,1.0,0.0,0.0
internvl2_8b,C4_stronger_open_conflict,0.0,1.0,0.0,1.0,0.0,0.0
