model,condition,n,conflict_aligned,faithful,refusal,other_wrong
Qwen2-VL-7B-Instruct,C0,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
Qwen2-VL-7B-Instruct,C1,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
Qwen2-VL-7B-Instruct,C2,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
Qwen2-VL-7B-Instruct,C3,300,"1/300 (0.33% [0.06%, 1.86%])","299/300 (99.67% [98.14%, 99.94%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
Qwen2-VL-7B-Instruct,C4,300,"1/300 (0.33% [0.06%, 1.86%])","299/300 (99.67% [98.14%, 99.94%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
LLaVA-1.5-7B,C0,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
LLaVA-1.5-7B,C1,300,"1/300 (0.33% [0.06%, 1.86%])","299/300 (99.67% [98.14%, 99.94%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
LLaVA-1.5-7B,C2,300,"3/300 (1.00% [0.34%, 2.90%])","297/300 (99.00% [97.10%, 99.66%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
LLaVA-1.5-7B,C3,300,"27/300 (9.00% [6.26%, 12.78%])*†","273/300 (91.00% [87.22%, 93.74%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
LLaVA-1.5-7B,C4,300,"10/300 (3.33% [1.82%, 6.03%])*†","290/300 (96.67% [93.97%, 98.18%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
InternVL2-8B,C0,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
InternVL2-8B,C1,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
InternVL2-8B,C2,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
InternVL2-8B,C3,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
InternVL2-8B,C4,300,"0/300 (0.00% [0.00%, 1.26%])","300/300 (100.00% [98.74%, 100.00%])","0/300 (0.00% [0.00%, 1.26%])","0/300 (0.00% [0.00%, 1.26%])"
