model_key,model_name,checkpoint_name,robustness_variant,n,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_ci_low,conflict_aligned_ci_high,faithful_n,faithful_rate,faithful_ci_low,faithful_ci_high,refusal_n,refusal_rate,refusal_ci_low,refusal_ci_high,other_wrong_n,other_wrong_rate,other_wrong_ci_low,other_wrong_ci_high
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C3_original,300,1,0.0033333333333333335,0.0005886577218511581,0.01863669369453124,299,0.9966666666666667,0.9813633063054688,0.9994113422781488,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C3_v2,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C3_v3,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C3_original,300,27,0.09,0.06259022560547937,0.12777701079864834,273,0.91,0.8722229892013517,0.9374097743945206,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C3_v2,300,5,0.016666666666666666,0.00713947735063333,0.0384153948330945,294,0.98,0.9570603791821394,0.9908023684422963,0,0.0,0.0,0.01264297122454604,1,0.0033333333333333335,0.0005886577218511581,0.01863669369453124
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C3_v3,300,0,0.0,0.0,0.01264297122454604,299,0.9966666666666667,0.9813633063054688,0.9994113422781488,0,0.0,0.0,0.01264297122454604,1,0.0033333333333333335,0.0005886577218511581,0.01863669369453124
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C3_original,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C3_v2,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C3_v3,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
